bought_id,product_name,buy_date,price,amount,expiration_date
1,banana,2023-05-10,0.99,30,2023-06-28
2,milk,2023-05-12,1.10,50,2023-09-25
3,chocolate,2023-04-25,2.5,20,2024-06-30
4,avocado,2023-05-05,0.99,10,2023-05-30
5,chips,2023-03-22,1.8,50,2024-04-12
6,bread,2023-05-15,1.45,20,2023-06-21
7,cheese,2023-04-29,4.5,10,2023-08-02
8,salami,2023-02-15,2.99,5,2023-07-04
9,yoghurt,2023-04-30,3.39,20,2023-06-08
10,cola,2023-03-18,1.99,40,2024-01-02
11,juice,2023-04-28,3.99,100,2024-07-15
12,pear,2023-05-26,0.4,35,2023-06-10
13,rudi,2023-06-18,0.99,20,2023-06-26
14,rudi,2023-06-18,0.99,20,2023-06-28
15,rudi,2023-06-18,0.99,20,2023-06-29
16,pear,2023-05-26,0.4,35,2023-06-10
17,yoghurt,2023-04-30,3.39,20,2023-06-08
18,rudi,2023-06-18,0.99,20,2023-06-25
19,apple,2023-06-18,0.99,20,2023-06-26
20,beef,2023-06-21,27.85,25,2023-07-15
21,tomato,2023-06-21,2.99,15,2023-07-15
22,rudi,2023-06-15,0.99,20,2023-06-28
23,tomato,2023-06-21,2.99,15,2023-07-15
24,tomato,2023-06-21,2.99,15,2023-07-15
25,tomato,2023-06-21,2.99,15,2023-07-15
26,cola,2023-06-21,1.5,15,2024-01-23
27,cola,2023-06-21,1.5,15,2024-01-23
28,cola,2023-06-16,1.99,10,2024-01-01
29,candy,2023-06-28,2.5,30,2023-10-10
30,candy,2023-06-28,2.5,30,2023-10-11
31,cola,2023-06-28,1.99,10,2024-01-01
